PDS Main Category ID;PDS 2nd Level Category ID;"PDS Category ID
[one or more entries possible per cell]";PDS Category name;Icon Mapping;;Focus color;Default color
;;600-6900-0397;Cross Country Ski Shop;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6900-0398;Tack Shop;shopping_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;6950 Hair and Beauty;600-6950-0000;Hair and Beauty;generic-point_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6950-0399;Barber;generic-point_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6950-0400;Nail Salon;generic-point_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
;;600-6950-0401;Hair Salon;generic-point_solid_16px.svg;;$hds-poi-focus-shopping;$hds-poi-default-shopping
700 Business and Services;7000 Banking;700-7000-0107;Bank;bank_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;7010 ATM;700-7010-0108;ATM;atm_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;7050 Money-Cash Services;700-7050-0109;Money Transferring Service;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7050-0110;Check Cashing Service-Currency Exchange;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;7100 Communication-Media;700-7100-0000;Communication-Media;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7100-0134;Telephone Service;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;7200 Commercial Services;700-7200-0000;Commercial Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0252;Advertising-Marketing, PR and Market Research;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0253;Catering and Other Food Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0254;Construction;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0255;Customer Care-Service Center;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0256;Engineering and Scientific Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0257;Farming;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0258;Food Production;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0259;Human Resources and Recruiting Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0260;Investigation Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0261;IT and Office Equipment Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0262;Landscaping Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0263;Locksmiths and Security Systems Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0264;Management and Consulting Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0265;Manufacturing;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0266;Mining;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0267;Modeling Agencies;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0268;Motorcycle Service and Maintenance;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0269;Organizations and Societies;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0270;Entertainment and Recreation;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0271;Finance and Insurance;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0272;Healthcare and Healthcare Support Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0274;Rental and Leasing;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0275;Repair and Maintenance Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0276;Printing and Publishing;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0277;Specialty Trade Contractors;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0278;Towing Service;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0279;Translation and Interpretation Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0324;Apartment Rental-Flat Rental;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0328;B2B Sales and Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0329;B2B Restaurant Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0330;Aviation;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0342;Interior and Exterior Design;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0344;Property Management;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7200-0345;Financial Investment Firm;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;7250 Business-Industry;700-7250-0136;Business Facility;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;7300 Police-Fire-Emergency;700-7300-0110;Police Boxes;generic-point_solid_16px.svg;;$hds-poi-focus-emergency;$hds-poi-default-emergency
;;700-7300-0111;Police Station;police_solid_16px.svg;;$hds-poi-focus-emergency;$hds-poi-default-emergency
;;700-7300-0112;Police Services-Security;generic-point_solid_16px.svg;;$hds-poi-focus-emergency;$hds-poi-default-emergency
;;700-7300-0113;Fire Department;generic-point_solid_16px.svg;;$hds-poi-focus-emergency;$hds-poi-default-emergency
;;700-7300-0280;Ambulance Services;generic-point_solid_16px.svg;;$hds-poi-focus-emergency;$hds-poi-default-emergency
;7400 Consumer Services;700-7400-0000;Consumer Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0133;Travel Agent-Ticketing;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0137;Dry Cleaning and Laundry;laundry_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0138;Attorney;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0140;Boating;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0141;Business Service;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0142;Funeral Director;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0143;Mover;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0144;Photography;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0145;Real Estate Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0146;Repair Service;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0147;Social Service;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0148;Storage;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0149;Tailor and Alteration;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0150;Tax Service;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0151;Utilities;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0152;Waste and Sanitary;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0281;Bicycle Service and Maintenance;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0282;Bill Payment Service;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0283;Body Piercing and Tattoos;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0284;Wedding Services and Bridal Studio;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0285;Internet Cafe;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0286;Kindergarten and Childcare;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0287;Maid Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0288;Marriage and Match Making Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0289;Public Administration;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0292;Wellness Center and Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0293;Pet Care;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0327;Legal Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0343;Tanning Salon;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0352;Recycling Center;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0365;Electrical;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7400-0366;Plumbing;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;7450 Post Office;700-7450-0114;Post Office;post_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;7460 Tourist Information;700-7460-0115;Tourist Information;tourist-information_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;7600 Fueling Station;700-7600-0000;Fueling Station;petrol-station_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;700-7600-0116;Petrol-Gasoline Station;petrol-station_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;700-7600-0322;EV Charging Station;car-charging_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;700-7600-0325;EV Battery Swap Station;generic-point_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;;700-7600-0444;Hydrogen Fuel Station;generic-point_solid_16px.svg;;$hds-poi-focus-transport;$hds-poi-default-transport
;7800 Car Dealer-Sales;700-7800-0118;Automobile Dealership-New Cars;car-dealership_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7800-0119;Automobile Dealership-Used Cars;car-dealership_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7800-0120;Motorcycle Dealership;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;7850 Car Repair-Service;700-7850-0000;Car Repair-Service;car-repair_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7850-0121;Car Wash-Detailing;car-wash_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7850-0122;Car Repair;car-repair_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7850-0123;Auto Parts;car-repair_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7850-0124;Emission Testing;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7850-0125;Tire Repair;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7850-0126;Truck Repair;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7850-0127;Van Repair;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7850-0128;Road Assistance;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7850-0129;Automobile Club;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;7851 Car Rental;700-7851-0117;Rental Car Agency;car-rental_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;7900 Truck-Semi Dealer-Services;700-7900-0000;Truck-Semi Dealer-Services;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7900-0130;Truck Dealership;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7900-0131;Truck Parking;;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7900-0132;Truck Stop-Plaza;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;700-7900-0323;Truck Wash;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
800 Facilities;;800-8000-0000;Hospital or Health Care Facility;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8000-0154;Dentist-Dental Office;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8000-0155;Family-General Practice Physicians;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8000-0156;Psychiatric Institute;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8000-0157;Nursing Home;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8000-0158;Medical Services-Clinics;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8000-0159;Hospital;hospital_solid_16px.svg;;$hds-poi-focus-emergency;$hds-poi-default-emergency
;;800-8000-0161;Optical;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8000-0162;Veterinarian;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8000-0325;Hospital Emergency Room;first-aid_solid_16px.svg;;$hds-poi-focus-emergency;$hds-poi-default-emergency
;;800-8000-0340;Therapist;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8000-0341;Chiropractor;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8000-0367;Blood Bank;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8000-0400;COVID-19 Testing Site;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8100-0000;Government or Community Facility;facilities_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8100-0163;City Hall;facilities_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8100-0164;Embassy;facilities_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8100-0165;Military Base;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8100-0168;County Council;facilities_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8100-0169;Civic-Community Center;facilities_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8100-0170;Court House;facilities_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8100-0171;Government Office;facilities_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8100-0172;Border Crossing;frontier-crossing_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8200-0000;Education Facility;education_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8200-0173;Higher Education;education_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8200-0174;School;education_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8200-0295;Training and Development;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8200-0360;Coaching Institute;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8200-0361;Fine Arts;education_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8200-0362;Language Studies;education_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8300-0000;Other Library;library_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8300-0175;Library;library_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8400-0000;Event Spaces;facilities_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8400-0139;Banquet Hall;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8400-0176;Convention-Exhibition Center;exhibition-center_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8500-0000;Parking;parking_solid_16px.svg;;$hds-poi-focus-parking;$hds-poi-default-parking
;;800-8500-0177;Parking Garage-Parking House;parking-garage_solid_16px.svg;;$hds-poi-focus-parking;$hds-poi-default-parking
;;800-8500-0178;Parking Lot;parking_solid_16px.svg;;$hds-poi-focus-parking;$hds-poi-default-parking
;;800-8500-0179;Park and Ride;park-and-ride_solid_16px.svg;;$hds-poi-focus-parking;$hds-poi-default-parking
;;800-8500-0200;Motorcycle, Moped and Scooter Parking;parking_solid_16px.svg;;$hds-poi-focus-parking;$hds-poi-default-parking
;;800-8500-0315;Cellphone Parking Lot;parking_solid_16px.svg;;$hds-poi-focus-parking;$hds-poi-default-parking
;;800-8600-0000;Sports Facility-Venue;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0180;Sports Complex-Stadium;stadium_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0181;Ice Skating Rink;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0182;Swimming Pool;swimming_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0183;Tennis Court;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0184;Bowling Center;bowling_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0185;Indoor Ski;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0186;Hockey;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0187;Racquetball Court;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0188;Shooting Range;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0189;Soccer Club;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0190;Squash Court;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0191;Fitness-Health Club;fitness_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0192;Indoor Sports;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0193;Golf Course;golf-course_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;800-8600-0194;Golf Practice Range;golf-course_solid_16px.svg;;$hds-poi-focus-leisure-outdoor;$hds-poi-default-leisure-outdoor
;;800-8600-0195;Race Track;stadium_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0196;Sporting Instruction and Camps;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0197;Sports Activities;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0199;Basketball;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0200;Badminton;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0314;Rugby;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0316;Diving Center;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0376;Bike Park;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0377;BMX Track;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8600-0381;Running Track;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8700-0000;Facilities;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8700-0166;Cemetery;cemetry_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8700-0167;Crematorium;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8700-0198;Public Restroom-Toilets;public-toilet_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8700-0296;Clubhouse;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
;;800-8700-0298;Registration Office;generic-point_solid_16px.svg;;$hds-poi-focus-facilities;$hds-poi-default-facilities
900 Areas and Buildings;9100 City, Town or Village;900-9100-0000;City, Town or Village;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;900-9100-0214;Hamlet;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;900-9100-0215;Named Place;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;900-9100-0216;Neighborhood;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;9200 Outdoor Area-Complex;900-9200-0000;Outdoor Area-Complex;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;900-9200-0218;Industrial Zone;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;900-9200-0219;Marina;harbor_solid_16px.svg;;$hds-poi-focus-water-undersea;$hds-poi-default-water-undersea
;;900-9200-0220;RV Parks;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;900-9200-0299;Collective Community;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;900-9200-0301;Island;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;900-9200-0386;Meeting Point;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;9300 Building;900-9300-0000;Building;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;900-9300-0221;Residential Area-Building;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;9400 Administrative Region-Streets;900-9400-0000;Administrative Region-Streets;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;900-9400-0399;Administrative Region;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;900-9400-0400;Postal Area;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;900-9400-0401;Street or Square;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
;;900-9400-0402;Intersection;generic-point_solid_16px.svg;;$hds-poi-focus-business-services-areas;$hds-poi-default-business-services-areas
